Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
1,Shohei Ohtani,28,Los Angeles Angels,LAA,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,184,325,9,3,0,3,21,0.7429,1,445
2,Ronald Acuna Jr.,25,Atlanta Braves,ATL,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,168,383,15,9,0,3,3,0.7061,2,519
3,Aaron Judge,31,New York Yankees,NYY,106,458,367,79,98,16,0,37,75,3,1,88,130,0.267,0.406,0.613,1.019,175,225,5,0,0,3,9,0.6965,3,319
4,Davis Schneider,24,Toronto Blue Jays,TOR,35,141,116,23,32,12,1,8,20,1,0,21,43,0.276,0.404,0.603,1.008,175,70,2,4,0,0,0,0.6667,6,94
5,Corey Seager,29,Texas Rangers,TEX,119,536,477,88,156,42,0,33,96,2,1,49,88,0.327,0.390,0.623,1.013,170,297,9,4,0,6,9,0.6549,5,351
6,Matt Olson,29,Atlanta Braves,ATL,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,162,367,13,4,0,4,8,0.6542,4,471
7,Mookie Betts,30,Los Angeles Dodgers,LAD,152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,163,338,5,8,0,5,3,0.6508,7,451
8,Nolan Jones,25,Colorado Rockies,COL,106,424,367,60,109,22,4,20,62,20,4,53,126,0.297,0.389,0.542,0.931,138,199,1,3,0,1,3,0.6439,9,273
9,Yordan Álvarez,26,Houston Astros,HOU,114,496,410,77,120,24,1,31,97,0,0,69,92,0.293,0.407,0.583,0.990,170,239,7,13,0,4,5,0.6431,10,319
10,Freddie Freeman,33,Los Angeles Dodgers,LAD,161,730,637,131,211,59,2,29,102,23,1,72,121,0.331,0.410,0.567,0.976,161,361,14,16,0,5,12,0.6425,8,469
11,Corbin Carroll,22,Arizona Diamondbacks,ARI,155,645,565,116,161,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,134,286,7,13,6,4,1,0.6186,14,399
12,Dairon Blanco,30,Kansas City Royals,KCR,69,138,124,19,32,7,4,3,18,24,5,10,33,0.258,0.324,0.452,0.775,111,56,2,2,2,0,0,0.6159,12,85
13,Juan Soto,24,San Diego Padres,SDP,162,708,568,97,156,32,1,35,109,12,5,132,129,0.275,0.410,0.519,0.930,158,295,18,2,1,5,11,0.6059,11,429
14,Nelson Velázquez,24,Kansas City Royals,KCR,53,179,162,35,38,6,0,17,34,0,0,14,51,0.235,0.302,0.586,0.888,136,95,3,2,0,1,0,0.6034,15,108
15,Will Benson,25,Cinncinnati Reds,CIN,108,329,287,51,79,15,8,11,31,19,3,40,103,0.275,0.365,0.498,0.863,130,143,3,1,0,1,0,0.5988,16,197
16,Nelson Velázquez,24,Kansas City Royals,KCR,40,147,133,27,31,4,0,14,28,0,0,11,43,0.233,0.299,0.579,0.878,134,77,2,2,0,1,0,0.5986,18,88
17,Kyle Tucker,26,Houston Astros,HOU,157,674,574,97,163,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,297,11,3,0,10,9,0.5979,13,403
18,Matt Wallner,25,Minnesota Twins,MIN,76,254,213,42,53,11,1,14,41,2,1,28,80,0.249,0.370,0.507,0.877,139,108,1,13,0,0,1,0.5906,65,150
19,Royce Lewis,24,Minnesota Twins,MIN,58,239,217,36,67,7,0,15,52,6,1,20,55,0.309,0.372,0.548,0.921,150,119,5,2,0,0,0,0.5900,17,141
20,Marcell Ozuna,32,Atlanta Braves,ATL,144,592,530,84,145,29,1,40,100,0,0,57,134,0.274,0.346,0.558,0.905,138,296,9,3,0,2,1,0.5878,19,348
21,Luis Robert Jr.,25,Chicago White Sox,CHW,145,595,546,90,144,36,1,38,80,20,4,30,172,0.264,0.315,0.542,0.857,128,296,10,12,0,2,5,0.5866,26,349
22,José Altuve,33,Houston Astros,HOU,90,410,360,76,112,21,2,17,51,14,2,44,71,0.311,0.393,0.522,0.915,151,188,9,5,0,1,0,0.5854,20,240
23,Bryce Harper,30,Philadelphia Phillies,PHI,126,546,457,84,134,29,1,21,72,11,3,80,119,0.293,0.401,0.499,0.900,146,228,10,5,0,4,8,0.5842,21,319
24,José Ramírez,30,Cleveland Indians,CLE,156,691,611,87,172,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831,131,290,8,1,0,6,22,0.5789,23,400
25,Josh Lowe,25,Tampa Bay Rays,TBR,135,501,466,71,136,33,2,20,83,32,3,31,124,0.292,0.335,0.500,0.835,129,233,6,1,0,3,2,0.5788,24,290
26,Zack Gelof,23,Oakland Athletics,OAK,69,300,270,40,72,20,1,14,32,14,2,26,82,0.267,0.337,0.504,0.840,137,136,5,3,0,1,1,0.5767,25,173
27,Adam Duvall,34,Boston Red Sox,BOS,92,353,320,45,79,24,2,21,58,4,0,22,110,0.247,0.303,0.531,0.834,119,170,0,6,0,5,1,0.5751,42,203
28,J.D. Martinez,35,Los Angeles Dodgers,LAD,113,479,432,61,117,27,2,33,103,1,0,34,149,0.271,0.321,0.572,0.893,134,247,11,2,0,9,1,0.5720,22,274
29,Jarren Duran,26,Boston Red Sox,BOS,102,362,332,46,98,34,2,8,40,24,2,24,90,0.295,0.346,0.482,0.828,121,160,3,3,0,2,1,0.5718,28,207
30,Cody Bellinger,27,Chicago Cubs,CHC,130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,133,262,7,5,0,12,3,0.5701,27,317
31,Kyle Schwarber,30,Philadelphia Phillies,PHI,160,720,585,108,115,19,1,47,104,0,2,126,215,0.197,0.343,0.474,0.817,122,277,4,6,0,3,5,0.5667,33,408
32,Luke Raley,28,Tampa Bay Rays,TBR,118,406,357,56,89,23,3,19,49,14,3,28,128,0.249,0.333,0.490,0.824,126,175,2,18,1,2,0,0.5665,83,230
33,Chas McCormick,28,Houston Astros,HOU,115,457,403,59,110,17,2,22,70,19,6,40,117,0.273,0.353,0.489,0.842,130,197,3,11,1,2,0,0.5646,57,258
34,Matt McLain,23,Cinncinnati Reds,CIN,89,403,365,65,106,23,4,16,50,14,5,31,115,0.290,0.357,0.507,0.864,129,185,5,7,0,0,0,0.5633,41,227
35,Mike Trout,31,Los Angeles Angels,LAA,82,362,308,54,81,14,1,18,44,2,0,45,104,0.263,0.367,0.490,0.858,131,151,4,7,0,2,2,0.5608,47,203
36,Tommy Pham,35,New York Mets,NYM,79,264,231,29,62,15,1,10,36,11,1,29,56,0.268,0.348,0.472,0.820,124,109,2,1,0,3,1,0.5606,31,148
37,Brandon Belt,35,Toronto Blue Jays,TOR,103,404,339,53,86,23,0,19,43,0,0,61,141,0.254,0.369,0.490,0.858,136,166,5,2,0,2,1,0.5569,32,225
38,Bo Naylor,23,Cleveland Indians,CLE,67,230,198,33,47,13,0,11,32,5,0,30,53,0.237,0.339,0.470,0.809,124,93,2,1,0,1,1,0.5565,39,128
39,Bobby Witt Jr.,23,Kansas City Royals,KCR,158,694,641,97,177,28,11,30,96,49,15,40,121,0.276,0.319,0.495,0.813,120,317,11,4,1,8,1,0.5548,30,385
40,Francisco Lindor,29,New York Mets,NYM,160,687,602,108,153,33,2,31,98,31,4,66,137,0.254,0.336,0.470,0.806,120,283,8,12,0,7,1,0.5546,53,381
41,Jake Burger,27,Chicago White Sox,CHW,88,323,294,44,63,15,1,25,52,1,1,22,102,0.214,0.279,0.527,0.806,113,155,3,5,0,2,0,0.5542,54,179
42,Pete Alonso,28,New York Mets,NYM,154,658,568,92,123,21,2,46,118,4,1,65,151,0.217,0.318,0.504,0.821,122,286,17,21,0,4,6,0.5532,56,364
43,Ozzie Albies,26,Atlanta Braves,ATL,148,660,596,96,167,30,5,33,109,13,1,46,107,0.280,0.336,0.513,0.849,124,306,9,8,0,8,2,0.5530,45,365
44,Jack Suwinski,24,Pittsburgh Pirates,PIT,144,534,447,63,100,21,2,26,74,13,2,75,172,0.224,0.339,0.454,0.793,115,203,2,6,0,6,2,0.5524,62,295
45,Mitch Garver,32,Texas Rangers,TEX,87,344,296,45,80,11,0,19,50,0,0,44,82,0.270,0.370,0.500,0.870,134,148,6,3,0,0,1,0.5523,38,190
46,Adolis García,30,Texas Rangers,TEX,148,632,555,108,136,29,0,39,107,9,1,65,175,0.245,0.328,0.508,0.836,123,282,12,6,0,6,0,0.5522,37,349
47,TJ Friedl,27,Cinncinnati Reds,CIN,138,556,488,73,136,22,8,18,66,27,6,47,90,0.279,0.352,0.467,0.819,118,228,0,10,8,3,1,0.5522,76,307
48,Rafael Devers,26,Boston Red Sox,BOS,153,656,580,90,157,34,0,33,100,5,1,62,126,0.271,0.351,0.500,0.851,126,290,15,11,0,3,10,0.5518,43,362
49,Julio Rodríguez,22,Seattle Mariners,SEA,155,714,654,102,180,37,2,32,103,37,10,47,175,0.275,0.333,0.485,0.818,128,317,14,11,0,2,6,0.5518,44,394
50,Yandy Díaz,31,Tampa Bay Rays,TBR,137,600,525,95,173,35,0,22,78,0,1,65,94,0.330,0.410,0.522,0.932,158,274,16,8,0,2,0,0.5500,34,330
51,Triston Casas,23,Boston Red Sox,BOS,132,502,429,66,113,21,2,24,65,0,0,70,126,0.263,0.367,0.490,0.856,129,210,7,1,0,2,2,0.5498,36,276
52,Richie Palacios,26,St. Louis Cardinals,STL,32,102,93,9,24,6,0,6,16,2,0,6,11,0.258,0.307,0.516,0.823,120,48,1,1,1,1,0,0.5490,52,56
53,Jake Burger,27,Toronto Blue Jays,TOT,141,540,492,71,123,28,1,34,80,1,1,32,149,0.250,0.309,0.518,0.828,120,255,4,12,0,4,0,0.5463,79,295
54,Christian Walker,32,Arizona Diamondbacks,ARI,157,661,582,86,150,36,2,33,103,11,0,62,127,0.258,0.333,0.497,0.830,123,289,13,8,0,8,3,0.5446,49,360
55,Christian Yelich,31,Milwaukee Brewers,MIL,144,632,550,106,153,34,1,19,76,28,3,78,140,0.278,0.370,0.447,0.818,124,246,15,3,0,1,7,0.5443,35,344
56,Max Muncy,32,Los Angeles Dodgers,LAD,135,579,482,95,102,17,1,36,105,1,2,85,153,0.212,0.333,0.475,0.808,115,229,8,6,0,6,4,0.5440,55,315
57,Jorge Soler,31,Miami Marlins,MIA,137,580,504,77,126,24,0,36,75,1,0,66,141,0.250,0.341,0.512,0.853,128,258,20,6,0,4,4,0.5431,29,315
58,Patrick Wisdom,31,Chicago Cubs,CHC,97,302,268,43,55,8,1,23,46,4,2,30,111,0.205,0.289,0.500,0.789,107,134,4,2,1,1,0,0.5430,50,164
59,Nolan Gorman,23,St. Louis Cardinals,STL,119,464,406,59,96,17,0,27,76,7,2,53,148,0.236,0.328,0.478,0.805,117,194,5,3,0,2,1,0.5409,61,251
60,Christopher Morel,24,Chicago Cubs,CHC,107,429,388,62,96,17,3,26,70,6,2,36,133,0.247,0.313,0.508,0.821,116,197,7,2,1,2,0,0.5408,48,232
61,DJ Stewart,29,New York Mets,NYM,58,185,160,21,39,9,0,11,26,1,1,15,56,0.244,0.333,0.506,0.840,128,81,3,7,1,1,0,0.5405,99,100
62,Jake Fraley,28,Cinncinnati Reds,CIN,111,380,336,41,86,18,0,15,65,21,5,37,71,0.256,0.339,0.443,0.783,109,149,5,6,0,1,2,0.5395,70,205
63,Isaac Paredes,24,Tampa Bay Rays,TBR,143,571,492,71,123,24,0,31,98,1,0,58,104,0.250,0.352,0.488,0.840,131,240,11,20,0,1,0,0.5394,88,308
64,Brandon Marsh,25,Philadelphia Phillies,PHI,133,472,404,58,112,25,6,12,60,10,2,59,144,0.277,0.372,0.458,0.829,127,185,4,4,1,4,2,0.5381,67,254
65,Austin Riley,26,Atlanta Braves,ATL,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,128,328,18,9,0,11,4,0.5371,51,384
66,Marcus Semien,32,Texas Rangers,TEX,162,753,670,122,185,40,4,29,100,14,3,72,110,0.276,0.348,0.478,0.826,122,320,5,5,0,5,1,0.5365,71,404
67,Gary Sánchez,30,San Diego Padres,SDP,72,260,234,33,51,9,0,19,46,0,0,21,64,0.218,0.292,0.500,0.792,116,117,3,4,0,1,0,0.5346,80,139
68,Tom Murphy,32,Seattle Mariners,SEA,47,159,145,19,42,12,0,8,17,0,0,10,44,0.290,0.335,0.538,0.873,142,78,4,1,0,2,0,0.5346,46,85
69,Jake Burger,27,Miami Marlins,MIA,53,217,198,27,60,13,0,9,28,0,0,10,47,0.303,0.355,0.505,0.860,130,100,1,7,0,2,0,0.5346,130,116
70,Ryan Jeffers,26,Minnesota Twins,MIN,96,335,286,46,79,15,2,14,43,3,2,33,93,0.276,0.369,0.490,0.858,134,140,6,10,4,2,1,0.5343,92,179
71,Jazz Chisholm Jr.,25,Miami Marlins,MIA,97,383,352,50,88,12,2,19,51,22,3,26,118,0.250,0.304,0.457,0.761,103,161,4,2,1,2,0,0.5326,69,204
72,Gunnar Henderson,22,Baltimore Orioles,BAL,150,622,560,100,143,29,9,28,82,10,3,56,159,0.255,0.325,0.489,0.814,125,274,10,3,0,3,1,0.5322,64,331
73,James Outman,26,Los Angeles Dodgers,LAD,151,567,483,86,120,16,3,23,70,16,3,68,181,0.248,0.353,0.437,0.790,112,211,4,12,0,4,1,0.5309,105,301
74,Willi Castro,26,Minnesota Twins,MIN,124,409,358,60,92,18,5,9,34,33,5,34,99,0.257,0.339,0.411,0.750,106,147,5,12,2,3,1,0.5306,113,217
75,Brent Rooker,28,Oakland Athletics,OAK,137,526,463,61,114,20,1,30,69,4,0,49,172,0.246,0.329,0.488,0.817,130,226,11,10,0,4,1,0.5304,78,279
76,José Siri,27,Tampa Bay Rays,TBR,101,364,338,58,75,13,2,25,56,12,3,20,130,0.222,0.267,0.494,0.761,106,167,5,2,1,3,0,0.5302,66,193
77,Wander Franco,22,Tampa Bay Rays,TBR,112,491,442,65,124,23,6,17,58,30,10,42,69,0.281,0.344,0.475,0.819,126,210,18,3,0,4,3,0.5295,40,260
78,Edouard Julien,24,Minnesota Twins,MIN,109,408,338,60,89,16,1,16,37,3,0,64,128,0.263,0.381,0.459,0.839,130,155,8,2,1,3,0,0.5294,63,216
79,Spencer Steer,25,Cinncinnati Reds,CIN,156,665,582,74,158,37,3,23,86,15,3,68,139,0.271,0.356,0.464,0.820,119,270,9,11,0,4,0,0.5293,84,352
80,Josh Naylor,26,Cleveland Indians,CLE,121,495,452,52,139,31,0,17,97,10,3,33,68,0.308,0.354,0.489,0.842,133,221,11,3,0,7,9,0.5293,60,262
81,Ketel Marte,29,Arizona Diamondbacks,ARI,150,650,569,94,157,26,9,25,82,8,2,71,109,0.276,0.358,0.485,0.844,128,276,16,5,0,5,2,0.5292,59,344
82,Wilmer Flores,31,San Francisco Giants,SFG,126,454,405,51,115,22,0,23,60,0,0,41,63,0.284,0.355,0.509,0.863,136,206,13,5,0,3,1,0.5286,58,240
83,Jeimer Candelario,29,Washington Nationals,WSN,99,419,368,57,95,30,2,16,53,6,1,36,88,0.258,0.342,0.481,0.823,125,177,10,12,0,2,1,0.5274,90,221
84,Trea Turner,30,Philadelphia Phillies,PHI,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.320,0.459,0.778,111,293,12,6,0,1,2,0.5268,73,364
85,Aaron Hicks,33,Baltimore Orioles,BAL,65,236,200,35,55,7,1,7,31,6,0,35,49,0.275,0.381,0.425,0.806,127,85,3,0,0,1,1,0.5254,68,124
86,Kerry Carpenter,25,Detroit Tigers,DET,118,459,418,57,116,17,2,20,64,6,0,32,115,0.278,0.340,0.471,0.811,120,197,5,8,0,1,3,0.5251,102,241
87,Danny Jansen,28,Toronto Blue Jays,TOR,86,301,268,38,61,15,0,17,53,0,0,23,62,0.228,0.312,0.474,0.786,115,127,3,10,0,0,1,0.5249,143,158
88,Gary Sánchez,30,Toronto Blue Jays,TOT,75,267,240,33,52,9,0,19,47,0,0,21,67,0.217,0.288,0.492,0.780,113,118,3,4,0,2,0,0.5243,96,140
89,Seiya Suzuki,28,Chicago Cubs,CHC,138,583,515,75,147,31,6,20,74,6,7,59,130,0.285,0.357,0.485,0.842,124,250,8,2,0,7,3,0.5232,77,305
90,Jeimer Candelario,29,Toronto Blue Jays,TOT,140,576,505,77,127,39,3,22,70,8,1,53,127,0.251,0.336,0.471,0.807,119,238,11,13,0,4,1,0.5226,98,301
91,Mike Ford,30,Seattle Mariners,SEA,83,251,219,32,50,6,0,16,34,0,0,24,81,0.228,0.323,0.475,0.798,122,104,4,7,0,1,0,0.5219,122,131
92,Paul Goldschmidt,35,St. Louis Cardinals,STL,154,687,593,89,159,31,0,25,80,11,2,87,161,0.268,0.363,0.447,0.810,120,265,12,3,0,3,6,0.5211,75,358
93,Randal Grichuk,31,Colorado Rockies,COL,64,263,240,40,74,19,1,8,27,2,2,18,51,0.308,0.365,0.496,0.861,120,119,6,4,0,1,2,0.5209,82,137
94,Chris Taylor,32,Los Angeles Dodgers,LAD,117,384,338,51,80,15,1,15,56,16,3,41,125,0.237,0.326,0.420,0.746,100,142,2,4,0,1,2,0.5208,110,200
95,Brandon Nimmo,30,New York Mets,NYM,152,682,592,89,162,30,6,24,68,3,3,74,146,0.274,0.363,0.466,0.829,127,276,6,11,1,4,0,0.5205,114,355
96,Noelvi Marte,21,Cinncinnati Reds,CIN,35,123,114,15,36,7,0,3,15,6,2,8,25,0.316,0.366,0.456,0.822,120,52,1,1,0,0,0,0.5203,97,64
97,Michael Harris II,22,Atlanta Braves,ATL,138,539,505,76,148,33,3,18,57,20,4,25,101,0.293,0.331,0.477,0.808,114,241,8,5,1,3,1,0.5195,85,280
98,Byron Buxton,29,Minnesota Twins,MIN,85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,98,133,3,4,0,4,2,0.5187,108,180
99,Sam Haggerty,29,Seattle Mariners,SEA,52,108,91,13,23,3,1,1,5,10,1,15,17,0.253,0.364,0.341,0.705,102,31,0,1,1,0,0,0.5185,126,56
100,Johan Rojas,22,Philadelphia Phillies,PHI,59,164,149,24,45,9,2,2,23,14,1,5,42,0.302,0.342,0.430,0.771,111,64,1,4,6,0,0,0.5183,149,85
101,Joey Gallo,29,Minnesota Twins,MIN,111,332,282,39,50,9,1,21,40,1,1,48,142,0.177,0.301,0.440,0.741,101,124,3,2,0,0,1,0.5181,94,172
102,Yainer Diaz,24,Houston Astros,HOU,104,377,355,51,100,22,0,23,60,0,0,11,74,0.282,0.308,0.538,0.846,128,191,12,5,0,6,0,0.5172,72,195
103,Jorge Polanco,29,Minnesota Twins,MIN,80,343,302,38,77,18,0,14,48,4,0,36,88,0.255,0.335,0.454,0.789,115,137,2,2,0,3,0,0.5160,106,177
104,Sean Murphy,28,Atlanta Braves,ATL,108,438,370,65,93,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,125,177,18,18,0,1,0,0.5160,107,226
105,J.P. Crawford,28,Seattle Mariners,SEA,145,638,534,94,142,35,0,19,65,2,0,94,125,0.266,0.380,0.438,0.818,131,234,7,5,3,2,1,0.5157,101,329
106,Tommy Pham,35,Toronto Blue Jays,TOT,129,481,426,55,109,27,3,16,68,22,3,47,106,0.256,0.328,0.446,0.774,111,190,11,2,0,6,1,0.5156,74,248
107,Elly De La Cruz,21,Cinncinnati Reds,CIN,98,427,388,67,91,15,7,13,44,35,8,35,144,0.235,0.300,0.410,0.710,89,159,6,2,1,1,3,0.5152,86,220
108,Ian Happ,28,Chicago Cubs,CHC,158,691,580,86,144,35,4,21,84,14,3,99,153,0.248,0.360,0.431,0.791,112,250,12,6,0,6,2,0.5152,87,356
109,Willson Contreras,31,St. Louis Cardinals,STL,125,495,428,55,113,27,0,20,67,6,3,51,111,0.264,0.358,0.467,0.826,124,200,12,13,1,2,0,0.5152,115,255
110,Dylan Moore,30,Seattle Mariners,SEA,67,165,145,18,30,9,1,7,19,7,3,16,56,0.207,0.303,0.428,0.731,104,62,1,4,0,0,0,0.5152,159,85
111,Lane Thomas,27,Washington Nationals,WSN,156,682,628,101,168,36,3,28,86,20,5,36,176,0.268,0.315,0.468,0.783,114,294,5,11,0,7,0,0.5147,132,351
112,Mickey Moniak,25,Los Angeles Angels,LAA,85,323,311,35,87,21,2,14,45,6,3,9,113,0.280,0.307,0.495,0.802,113,154,4,3,0,0,1,0.5139,103,166
113,Max Kepler,30,Minnesota Twins,MIN,130,491,438,72,114,22,2,24,66,1,1,45,106,0.260,0.332,0.484,0.816,121,212,9,4,0,4,0,0.5132,89,252
114,CJ Abrams,22,Washington Nationals,WSN,151,614,563,83,138,28,6,18,64,47,4,32,118,0.245,0.300,0.412,0.712,95,232,7,13,3,3,2,0.5130,140,315
115,Logan O'Hoppe,23,Los Angeles Angels,LAA,51,199,182,23,43,6,0,14,29,0,1,14,48,0.236,0.296,0.500,0.796,111,91,4,2,0,1,0,0.5126,91,102
116,Randy Arozarena,28,Tampa Bay Rays,TBR,151,654,551,95,140,19,3,23,83,22,10,80,156,0.254,0.364,0.425,0.789,120,234,10,18,0,5,1,0.5122,147,335
117,Ryan O'Hearn,29,Baltimore Orioles,BAL,112,368,346,48,100,22,1,14,60,5,1,15,82,0.289,0.322,0.480,0.801,122,166,2,3,1,3,2,0.5109,127,188
118,Jeimer Candelario,29,Chicago Cubs,CHC,41,157,137,20,32,9,1,6,17,2,0,17,39,0.234,0.318,0.445,0.764,103,61,1,1,0,2,0,0.5096,125,80
119,Brandon Lowe,28,Tampa Bay Rays,TBR,109,436,377,58,87,15,1,21,68,7,0,50,119,0.231,0.328,0.443,0.771,113,167,8,6,0,3,0,0.5092,112,222
120,Anthony Santander,28,Baltimore Orioles,BAL,153,656,591,81,152,41,1,28,95,5,1,55,152,0.257,0.325,0.472,0.797,121,279,11,6,0,4,1,0.5091,104,334
121,Lars Nootbaar,25,St. Louis Cardinals,STL,117,503,426,74,111,23,1,14,46,11,1,72,99,0.261,0.367,0.418,0.784,115,178,7,1,1,3,2,0.5089,95,256
122,José Caballero,26,Seattle Mariners,SEA,104,280,231,37,51,9,1,4,26,26,3,28,66,0.221,0.343,0.320,0.663,90,74,0,17,0,4,0,0.5071,284,142
123,Fernando Tatis Jr.,24,San Diego Padres,SDP,141,635,575,91,148,33,1,25,78,29,4,53,141,0.257,0.322,0.449,0.770,113,258,17,3,1,3,0,0.5071,81,322
124,Ryan Noda,27,Oakland Athletics,OAK,128,495,406,63,93,22,1,16,54,3,1,77,170,0.229,0.364,0.406,0.770,121,165,4,10,0,2,1,0.5071,163,251
125,Mike Yastrzemski,32,San Francisco Giants,SFG,106,381,330,54,77,23,1,15,43,2,2,45,99,0.233,0.330,0.445,0.775,113,147,5,3,2,1,3,0.5066,118,193
126,Bryan Reynolds,28,Pittsburgh Pirates,PIT,145,640,574,85,151,31,5,24,84,12,1,53,138,0.263,0.330,0.460,0.790,113,264,13,7,0,6,2,0.5063,109,324
127,Christian Encarnacion-Strand,23,Cinncinnati Reds,CIN,63,241,222,29,60,7,0,13,37,2,0,14,69,0.270,0.328,0.477,0.805,113,106,5,5,0,0,0,0.5062,131,122
128,LaMonte Wade Jr.,29,San Francisco Giants,SFG,135,519,429,64,110,14,2,17,45,2,0,76,95,0.256,0.373,0.417,0.790,119,179,4,6,4,4,3,0.5048,145,262
129,Joey Votto,39,Cinncinnati Reds,CIN,65,242,208,26,42,6,0,14,38,0,0,27,62,0.202,0.314,0.433,0.747,99,90,2,7,0,0,0,0.5041,193,122
130,Parker Meadows,23,Detroit Tigers,DET,37,145,125,19,29,4,2,3,13,8,1,17,37,0.232,0.331,0.368,0.699,92,46,0,2,0,1,1,0.5034,174,73
131,Ha-Seong Kim,27,San Diego Padres,SDP,152,626,538,84,140,23,0,17,60,38,9,75,124,0.260,0.351,0.398,0.749,110,214,7,3,5,5,1,0.5032,124,315
132,Will Smith,28,Los Angeles Dodgers,LAD,126,554,464,80,121,21,2,19,76,3,0,63,89,0.261,0.359,0.438,0.797,114,203,8,15,0,12,2,0.5018,176,278
133,Alex Kirilloff,25,Minnesota Twins,MIN,88,319,281,35,76,14,1,11,41,1,0,28,80,0.270,0.348,0.445,0.793,117,125,2,7,0,3,1,0.5016,185,160
134,Jason Heyward,33,Los Angeles Dodgers,LAD,124,377,334,56,90,23,0,15,40,2,2,34,64,0.269,0.340,0.473,0.813,117,158,7,3,0,3,1,0.5013,116,189
135,Josh Bell,30,Miami Marlins,MIA,53,224,200,26,54,9,0,11,26,0,0,20,53,0.270,0.338,0.480,0.818,119,96,6,1,0,1,1,0.5000,93,112
136,Cade Marlowe,26,Seattle Mariners,SEA,34,100,88,14,21,3,2,3,11,4,2,12,33,0.239,0.330,0.420,0.750,111,37,1,0,0,0,0,0.5000,121,50
137,Mike Moustakas,34,Colorado Rockies,COL,47,136,115,21,31,7,0,4,17,0,0,17,34,0.270,0.360,0.435,0.795,105,50,1,1,0,3,1,0.5000,152,68
138,Mark Canha,34,Milwaukee Brewers,MIL,50,204,178,23,51,10,0,5,33,4,1,17,27,0.287,0.373,0.427,0.800,120,76,3,8,0,1,1,0.5000,210,102
139,Cal Raleigh,26,Seattle Mariners,SEA,145,569,513,78,119,23,1,30,75,0,0,54,158,0.232,0.306,0.456,0.762,112,234,6,1,0,1,1,0.4991,128,284
140,J.T. Realmuto,32,Philadelphia Phillies,PHI,135,540,489,70,123,28,5,20,63,16,5,35,138,0.252,0.310,0.452,0.762,106,221,10,9,0,5,3,0.4981,148,269
141,Jared Triolo,25,Pittsburgh Pirates,PIT,54,209,181,30,54,9,0,3,21,6,1,24,63,0.298,0.388,0.398,0.785,116,72,0,3,0,1,0,0.4976,195,104
142,Andrew McCutchen,36,Pittsburgh Pirates,PIT,112,473,390,55,100,19,0,12,43,11,3,75,100,0.256,0.378,0.397,0.776,113,155,8,4,0,4,1,0.4968,133,235
143,Luis Rengifo,26,Los Angeles Angels,LAA,126,445,394,55,104,15,4,16,51,6,4,41,82,0.264,0.339,0.444,0.783,111,175,3,6,0,4,0,0.4966,173,221
144,Charlie Blackmon,36,Colorado Rockies,COL,96,413,359,57,100,24,5,8,40,4,1,39,55,0.279,0.363,0.440,0.803,107,158,6,11,0,4,0,0.4964,190,205
145,Adley Rutschman,25,Baltimore Orioles,BAL,154,687,588,84,163,31,1,20,80,1,2,92,101,0.277,0.374,0.435,0.809,128,256,14,2,0,5,6,0.4964,111,341
146,Justin Turner,38,Boston Red Sox,BOS,146,626,558,86,154,31,0,23,96,4,1,51,110,0.276,0.345,0.455,0.800,114,254,10,11,0,6,0,0.4936,167,309
147,Brandon Drury,30,Los Angeles Angels,LAA,125,523,485,61,127,30,3,26,83,0,2,25,136,0.262,0.306,0.497,0.803,114,241,14,8,0,5,0,0.4933,135,258
148,Riley Greene,22,Detroit Tigers,DET,99,416,378,51,109,19,4,11,37,7,0,35,114,0.288,0.349,0.447,0.796,117,169,7,1,0,2,0,0.4928,129,205
149,Michael A. Taylor,32,Minnesota Twins,MIN,129,388,355,48,78,14,1,21,51,13,1,26,130,0.220,0.278,0.442,0.720,94,157,7,3,3,1,0,0.4923,141,191
150,Edward Olivares,27,Kansas City Royals,KCR,107,385,354,47,93,23,4,12,36,11,5,22,64,0.263,0.317,0.452,0.769,109,160,7,7,0,2,1,0.4909,170,189
151,Brendan Donovan,26,St. Louis Cardinals,STL,95,371,327,48,93,10,1,11,34,5,1,33,53,0.284,0.365,0.422,0.787,115,138,4,9,1,1,2,0.4906,207,182
152,Matt Chapman,30,Toronto Blue Jays,TOR,140,581,509,66,122,39,2,17,54,4,2,62,165,0.240,0.330,0.424,0.755,108,216,4,8,0,2,1,0.4905,192,285
