Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
374,Luis García Jr.,23,Washington Nationals,WSN,122,482,447,61,119,18,4,9,50,9,4,27,60,0.266,0.304,0.385,0.688,90,172,10,0,1,7,1,0.4046,343,195
375,Anthony Rendon,33,Los Angeles Angels,LAA,43,183,148,23,35,6,0,2,22,2,0,25,27,0.236,0.361,0.318,0.678,88,47,6,6,0,4,0,0.4044,389,74
376,Ty France,28,Seattle Mariners,SEA,158,665,587,79,147,32,0,12,58,1,0,43,117,0.250,0.337,0.366,0.703,99,215,25,34,0,1,0,0.4030,418,268
377,Víctor Caratini,29,Milwaukee Brewers,MIL,62,226,201,23,52,4,0,7,25,1,1,19,45,0.259,0.327,0.383,0.711,95,77,8,3,0,3,0,0.4027,344,91
378,José Abreu,36,Houston Astros,HOU,141,594,540,62,128,23,1,18,90,0,1,42,130,0.237,0.296,0.383,0.680,87,207,16,6,0,6,1,0.4024,356,239
379,Kole Calhoun,35,Cleveland Indians,CLE,43,174,157,18,34,7,0,6,25,0,1,13,37,0.217,0.282,0.376,0.657,82,59,3,2,0,2,0,0.4023,382,70
380,Trayce Thompson,32,Toronto Blue Jays,TOT,72,179,153,17,25,2,0,6,17,2,0,24,77,0.163,0.285,0.294,0.579,58,45,1,2,0,0,0,0.4022,406,72
381,Rodolfo Castro,24,Pittsburgh Pirates,PIT,78,224,197,19,45,7,0,6,22,1,4,21,62,0.228,0.317,0.355,0.672,84,70,4,5,0,1,1,0.4018,404,90
382,Brian Anderson,30,Milwaukee Brewers,MIL,96,361,318,38,72,12,3,9,40,1,3,36,108,0.226,0.310,0.368,0.678,86,117,10,4,0,3,0,0.4017,359,145
383,Brendan Rodgers,26,Colorado Rockies,COL,46,192,178,21,46,9,1,4,20,0,0,11,41,0.258,0.313,0.388,0.700,80,69,6,3,0,0,0,0.4010,367,77
384,Francisco Mejía,27,Tampa Bay Rays,TBR,50,160,150,22,34,11,0,5,19,0,1,6,38,0.227,0.258,0.400,0.658,80,60,2,1,1,2,0,0.4000,387,64
385,Luis Matos,21,San Francisco Giants,SFG,76,253,228,24,57,13,1,2,14,3,0,20,33,0.250,0.319,0.342,0.661,84,78,3,3,2,0,0,0.3992,400,101
386,Kody Clemens,27,Philadelphia Phillies,PHI,47,148,139,15,32,7,0,4,13,0,0,8,40,0.230,0.277,0.367,0.644,75,51,1,1,0,0,0,0.3986,402,59
387,David Peralta,35,Los Angeles Dodgers,LAD,133,422,394,47,102,25,1,7,55,4,1,20,72,0.259,0.294,0.381,0.675,81,150,8,2,0,6,1,0.3981,376,168
388,Amed Rosario,27,Cleveland Indians,CLE,94,412,385,51,102,19,6,3,40,9,0,22,77,0.265,0.306,0.369,0.675,88,142,11,2,0,3,0,0.3981,352,164
389,Will Brennan,25,Cleveland Indians,CLE,138,455,432,41,115,24,0,5,41,13,5,16,57,0.266,0.299,0.356,0.655,83,154,4,5,0,2,2,0.3978,408,181
