Rank,Name,Age,TmFull,team_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
242,Jace Peterson,34,Arizona Diamondbacks,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0.0,242,0
243,Kevin Pillar,35,Chicago White Sox,CHW,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,243,0
244,Luke Raley,29,Seattle Mariners,SEA,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,244,0
245,Harold Ramírez,29,Tampa Bay Rays,TBR,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,245,0
246,Anthony Rendon,34,Los Angeles Angels,LAA,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,246,0
247,Hunter Renfroe,32,Kansas City Royals,KCR,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,247,0
248,Pablo Reyes,30,Boston Red Sox,BOS,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,248,0
249,Jake Rogers,29,Detroit Tigers,DET,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,249,0
250,Miguel Rojas,35,Los Angeles Dodgers,LAD,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,250,0
251,Brent Rooker,29,Oakland Athletics,OAK,1,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,251,0
252,Eguy Rosario,24,San Diego Padres,SDP,2,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,252,0
253,Esteury Ruiz,25,Oakland Athletics,OAK,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,253,0
254,Miguel San,31,Los Angeles Angels,LAA,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,254,0
255,Jon Singleton,32,Houston Astros,HOU,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,255,0
256,Dansby Swanson,30,Chicago Cubs,CHC,1,4,3,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,1,0,0.0000,256,0
257,Leody Taveras,25,Texas Rangers,TEX,1,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,0.0000,257,0
258,Chris Taylor,33,Los Angeles Dodgers,LAD,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,258,0
259,Rowdy Tellez,29,Pittsburgh Pirates,PIT,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,259,0
260,Lane Thomas,28,Washington Nationals,WSN,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,260,0
261,Michael Toglia,25,Colorado Rockies,COL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,261,0
262,Ezequiel Tovar,22,Colorado Rockies,COL,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,262,0
263,Jose Trevino,31,New York Yankees,NYY,1,4,3,1,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-18,0,1,0,0,0,0,0.0000,263,0
264,Justin Turner,39,Toronto Blue Jays,TOR,1,5,4,1,0,0,0,0,0,0,0,0,1,.000,.200,.000,.200,-34,0,1,1,0,0,0,0.0000,264,0
265,Luis Urías,27,Seattle Mariners,SEA,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,265,0
266,Gio Urshela,32,Detroit Tigers,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0.0,266,0
267,Alex Verdugo,28,New York Yankees,NYY,1,4,3,0,1,0,0,0,1,0,0,0,0,.333,.250,.333,.583,68,1,1,0,0,1,0,0.0000,267,0
268,Jordan Walker,22,St. Louis Cardinals,STL,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,268,0
269,Matt Wallner,26,Minnesota Twins,MIN,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,269,0
270,Jared Walsh,30,Texas Rangers,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0.0,270,0
271,Masyn Winn,22,St. Louis Cardinals,STL,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,271,0
272,Mike Yastrzemski,33,San Francisco Giants,SFG,1,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,272,0
273,Isiah Kiner-Falefa,29,Toronto Blue Jays,TOR,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,-0.2500,273,-1
274,Taylor Ward,30,Los Angeles Angels,LAA,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,0,0,-0.2500,274,-1
275,Seth Brown,31,Oakland Athletics,OAK,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,-0.3333,275,-1
276,Nelson Velázquez,25,Kansas City Royals,KCR,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,-0.3333,276,-1
277,Jonah Bride,28,Miami Marlins,MIA,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,-1.0000,277,-1
278,Jacob Stallings,34,Colorado Rockies,COL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,-1.0000,278,-1
